"Reference","Value","Datasheet","Footprint","Qty"
"D1","RS1M-13-F","https://www.diodes.com/assets/Datasheets/ds15002.pdf","RS1M-13-F:SMA_DIO-M","1"
"F1","Fuse","https://industrial.panasonic.com/cdbs/www-data/pdf/AFA0000/AFA0000C7.pdf","Diode_SMD:D_0402_1005Metric_Pad0.77x0.64mm_HandSolder","1"
"J1","350-10-105-00-001101","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/6642/350_Datasheet.pdf","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1"
"K1","1-1721150-0","https://www.te.com/en/product-1-1721150-0.datasheet.pdf","1-1721150-0:RELAY_1-1721150-0","1"
"LED1","LED","https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_mono/sml-d12v1wt86-e.pdf","SML-D12:LED_SML-D12V1WT86","1"
"LED2","HSMG-C170","https://docs.broadcom.com/doc/AV02-0551EN","HSMG-C170:LED_HSMS-C170","1"
"R1","140","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","RC0603FR-07330RL:RESC1607X60N","1"
"R2","1k","https://www.susumu.co.jp/common/pdf/n_catalog_partition01_en.pdf","RG1608N-102-D-T5:RESC1608X50N","1"
"R3","100R","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_11.pdf","AC0603JR-07100RL:RESC1608X55N","1"
"R4","68R","https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf","CRCW0402140RFKEDC:RESC1005X35N","1"
"U1","FOD817ASD","https://rocelec.widen.net/view/pdf/yhg4flovvn/ONSM-S-A0003163276-1.pdf?t.download=true&u=5oefqw","FOD817ASD:SOIC254P1016X385-4N","1"
"U2","FMMT634QTA","https://www.diodes.com/assets/Datasheets/FMMT634Q.pdf","FMMT634QTA:VREG_XC6206P282MR-G","1"
